小凉帽获第十四届加拿大中国电影节最佳儿童片奖,2019年11月29日晚，第十四届加拿大中国电影节在温哥华市中心Play House大剧院隆重举行，加拿大各族裔侨领代表，以及来自影视界、文化界的共计600名嘉宾齐聚大剧院见证盛典。《小凉帽之白鹭归来》斩获最佳儿童片奖。加拿大中国电影节是最早在海外举办的中国电影节，是中国电影走向北美的最重要平台，具有广泛的国际影响力。加拿大国会议员Alice Wong、BC省议员Teresa Wat、BC省议员Michael Lee，以及中华人民共和国驻温哥华代总领事孔玮玮均发来贺信，对加拿大中国电影节的成功举办表达诚挚的祝贺。继威尼斯电影奖、玉猴奖、金竹奖、加拿大中国电影节等一系列国内国际大奖的获得，标志着小凉帽已跻身为具有国际影响力的动漫IP。《小凉帽之白鹭归来》共26集，是小凉帽系列动画片第一季。动画由知名导演贺明泉执导，故事改编自知名作家胡梅林创作的童话小说《会飞的小凉帽》，故事讲述了生活在客家赤竹镇的小姐妹阿凉和阿妹拯救受伤白鹭，勇斗偷猎黑商，并意外获得凉帽魔法，成为森林动物守护者。浓郁的岭南人文背景、神奇的森林、温馨的家园、美丽的小镇和快乐的小动物伙伴，演绎了小凉帽快乐成长的童年时光。该片即将在央视、金鹰、嘉佳、深视、腾讯、爱奇艺、优酷等主流频道黄金时段播出。此前，小凉帽12分钟VR电影作品获得2017年威尼斯电影奖亚太单元最佳沉浸影片和最佳未来影片两项金狮奖。影片在华侨城旗下V谷乐园播出后，累计接待超百万人次，体验式观影票房及衍生收入超亿元，成为中国最卖座的VR电影之一。《会飞的小凉帽》图书和广播剧自今年6月出版播出以来，在深圳飞扬971、喜马拉雅等平台总播放量已突破2000万次，成为最热门儿童广播剧之一。小凉帽作为全球文旅四强华侨城集团旗下重磅打造的超级IP，自2016年诞生以来，迅速形成了绘本、小说、广播剧、VR电影、TV动画等多种艺术作品，受到央视新闻联播、焦点访谈等主流媒体多次深度报道，近期由广东省推荐为国家广电总局重点题材创作项目。频频夺得大奖的小凉帽IP正快速崛起，展现其国际影响力，成为讲好中国故事的代表作品。小凉帽故事创作原生地深圳甘坑客家小镇，也从名不经传的破旧老村，成为深圳十大文化街区之一，累计接待游客已突破600万人次，成为深圳文化新地标。温哥华是北美三大电影工业中心之一，人称加拿大“好莱坞”，小凉帽此次电影节展播收到各界好评，多家北美视频平台表达发行意向，为动画片进入北美市场打下良好的基础。(责编：Koyo)
《燥梦英雄》剧组亮相海南岛国际电影节红毯,12月1日，由国家电影局指导，中央广播电视总台，海南省人民政府主办的第二届海南岛国际电影节在海南三亚拉开帷幕，作为国内最重要的电影盛事之一，此次海南岛国际电影节吸引了国内外众多优秀的电影人出席。开幕当天，海南岛的红毯星光熠熠，秦昊、张译、李晨、杨幂、赵薇、黄圣依、陈小春、任达华、蒋雯丽、谢飞、黄建新等上百位中外电影人走上电影节红毯。音乐励志电影《燥梦英雄》剧组获组委会邀请参加开幕式红毯，导演兼制片人杨博、编剧温岩晶、演员林永灿盛装出席，该片由胡海泉担任监制，阮世生担任艺术顾问，宋洋、陈意涵领衔主演，及陈翔、高捷、张可盈曹然然联袂出演，主要讲述一支以梦为马，坚持不懈的年轻乐队，排除万难实现自己的音乐梦想。目前，该片青岛冬季部分已拍摄取景完成，将于2020年继续拍摄春季部分，于年底与观众见面。(责编：Koyo)
蔡徐坤谈舆论困扰 用音乐的方式回应争议,新浪娱乐讯 本周四，《限定的记忆》即将迎来最后一位主人公——蔡徐坤[微博]。自出道以来，关于蔡徐坤的标签和新闻层出不穷。节目中，蔡徐坤正面回应争议。蔡徐坤谈舆论困扰 选择用音乐来回应“委屈”NINEPERCENT出道的一年半时间里，蔡徐坤在享受着巨大光环的同时，也承受着同样的压力与烦恼。虽然蔡徐坤一直都专注于自己的音乐，“但公众的注意力好像并不在舞台上”。蔡徐坤表示疑惑：“好像我并没有做奇怪的事情，为什么会这样？”在歌曲作品“不出圈”和被误解的困扰下，蔡徐坤了解到抱怨并不能改变现状，于是选择对新闻置之不理，选择让自己“小小的失忆”来更专注音乐。蔡徐坤表示，只想做自己想做的音乐，一切的委屈，会用音乐的方式来回应。自《偶像练习生》毕业之后，蔡徐坤没有参加太多综艺节目和影视剧拍摄，而是专注于打造自己的单曲，可见蔡徐坤对音乐的热爱。蔡徐坤表示，曾听到别人说自己是个“疯子”，是很偏执的人，为了做音乐，已然放弃了生活。无疑，是音乐激活了蔡徐坤的“偏执与疯狂”。蔡徐坤排练花絮曝光 与舞者分享歌曲背后的故事节目预告中，还曝光了多段蔡徐坤的彩排幕后花絮。在歌曲《蒙着眼》排练时，蔡徐坤与舞者们分享自己的创作初衷，全英文为舞者们讲解歌曲的情绪、故事、创作背景，以帮助舞者们更好的表演；《重生》的乐队排练，蔡徐坤增加了电子元素，并表示live版会更加躁一点，“是一件蛮酷、蛮好玩的事情”。蔡徐坤为《限定的记忆》录制新歌的花絮中，透露《梦》这首歌竟然是他在刚刚录制完《偶像练习生》时期创作的，在一年多后才决定放在NINEPERCENT 的专辑里发表出来。蔡徐坤表示，《梦》这首歌比较符合团体专辑，也符合“限定的记忆”这个概念。“因为那一刻（《偶像练习生》出道），我们九个人好像都离自己的梦更近了，但好像所有人都没有想到，那一刻，（一切）才刚刚开始。”不仅是歌曲、舞蹈的排练，连现场的舞美、灯光，蔡徐坤都亲自参与讨论和设计，尽显“细节控”特质。(责编：哈哈大王)
《鹤唳华亭》剧情催泪 王劲松罗晋师徒情深,中新网12月3日电 由优酷全网独播，杨文军执导，罗晋、李一桐、黄志忠[微博]、张志坚、苗圃[微博]、金瀚[微博]、郑业成[微博]等领衔主演，王劲松[微博]、郝蕾[微博]、刘德凯[微博]等特别主演的年度匠心历史传奇剧《鹤唳华亭》昨日正式开启加更。在昨晚播出的剧情中，由罗晋饰演的男主角皇太子萧定权和黄志忠饰演的皇上，本已父子关系升温，但不料由于科举殿试中阴错阳差的事故，两人再度生出嫌隙。为了挽救太子，由王劲松饰演的卢世瑜虽已辞官准备回乡，但身为太子老师的他依然肩负师者责任，采用了“死谏”的方式进言。卢世瑜临终前用一段感人肺腑的独白，讲述了太子的成长过程及15年来师生间相互陪伴走过的时光，其中情谊令观众感动不已。虽然仅仅是加更的第一日，但《鹤唳华亭》中的众角色均迎来了天翻地覆般的命运转变。由李一桐饰演的女主角陆文昔从书香世家的才女，一转眼变成父兄皆入狱、家破人亡的孤女；对太子一直严格要求的皇上则被一连串的变故气到晕厥；由郑业成饰演的太子表哥顾逢恩渴望通过自己努力金榜题名，但殿试中他却也被连累，遭遇了永久从科举考试中除名的惩罚……众多角色人生境遇的反转为之后的剧情增添了更多看点及不确定性。(责编：珞小嬜)
张碧晨追星成功！舒畅发文晒美照庆生 好姐妹相伴,新浪娱乐讯 12月4日，舒畅在微博晒出庆生照，配文：“昨晚的我们仨，好开心。”舒畅坐在c位双手作出许愿的姿势，淡妆素雅。网友表示：“女神生日快乐！！！！茜茜公主！！！碧晨追星成功！”“ 哇哇哇，友谊长存！”“舒畅姐姐生日快乐呀！”(责编：山水)
周二珂《复乐园》专辑上线 融合多种音乐元素,“唯一真实的乐园是已经失去的乐园，唯一有吸引力的世界是尚未踏入的世界。”周二珂2019全新个人专辑《复乐园》今日完整上线，融合了Electro Pop、复古Disco、世界音乐等多种元素，展现了属于二珂的专属音乐魅力。以《复乐园》之名，周二珂用这张专辑讲述了关于追寻、勇气与爱的故事。整张专辑10首歌曲，背后皆有各自的故事，但曲曲相连交织，勾画出女孩的成长之诗。在专辑同名曲《复乐园》里，周二珂传递了她对明日的呼唤，对未来笃定的信念；在《橘子树下的阳光》里，她勇敢地向复杂的成人世界进发，善良是女孩的保护色；她会像一个吉普赛人一样，在浪漫的月光下，吟唱着《即兴流亡》的乐章；她也可以沿着《蓝莓之夜》的浪漫想象地图，抵达一切内心向往的地方；哪怕纷纷扰扰的世界里，我们一切珍爱之物都被打碎，她也会怀揣着《自我拼图说明》，沿路拾回完整的自己。周二珂始终相信，爱是战胜一切的武器。在《复乐园》里，她无畏地讨论着爱的力量，爱的苦乐参半。在《我终究是爱你的》里，她为困顿于爱情中的人们加油打气，始终挥舞着手中那份关于爱的执着。在《爱应该》里，她勾勒爱的理想模样，哪怕跋山涉水，穷尽岁月，她也希望得到关于爱的答案。她还把这一路的回忆感动凝结成《纽扣》。距离上一张个人专辑已两年有余，周二珂在《复乐园》中呈现了不同于过往的蜕变，散发出个人专属的音乐魅力。同名曲《复乐园》大胆使用混合利底亚中古调式，结合西塔琴所编制的世界音乐迷人色彩，她向我们展现了声音中的艺术感；专辑中也有多首“触电”之作，二珂的纯净音色和鬼马性格与电子乐一拍即合，包括《走失在1990》中在Electro Pop中电光火石的嗓音跃动；在《厌氧》的Trip-Hop英伦神游舞池里，二珂展现她全新的“气泡音”；在《蓝莓之夜》的80年代复古新浪潮Disco里，无论是挥洒的青春气息，还是抑扬顿挫的唱句，都代表了二珂不受时空和风格限制的鲜活生命力。周二珂用《复乐园》这张专辑展现了作为歌手的无限可能与潜力。面对黑夜的降临和一切未知，凭借坚定的信念，也能像她一样大步向前，找寻失而复得的、从未抵达的美丽新世界。期待周二珂带给我们的更多惊喜。特别声明：以上文章内容仅代表作者本人观点，不代表新浪网观点或立场。如有关于作品内容、版权或其它问题请于作品发表后的30日内与新浪网联系。
毕夏现身央视节目献唱《野子》 静心创作音乐,12月2日，摇滚女王毕夏帅气现身CCTV-3央视《开门大吉》柔情献唱《野子》，温柔沙哑的声音别有一番滋味。结束骑行之旅回来的毕夏本人更是脱去浮华的外衣，在参与综艺、演出的同时静心且精心的创作自己的歌曲。本周一晚，毕夏一身黑色马甲帅气登上央视《开门大吉》的舞台，并倾情演唱《野子》。有别于以往给人的第一印象，温柔略带沙哑的女声将歌曲故事里所表达的坚韧展现的淋漓尽致，能把耳熟能详的作品唱出自己的理解和味道，这就是毕夏的特质。毕夏版本的《野子》有着独属于她的美，声音里依旧饱含着对音乐一如既往的热爱和坚持，这一路走来用身为女子的坚韧、坚持、坚强给很多观众带来不少感动，就像歌曲诉述的内涵那样“只要够坚定，再大的逆境都不算什么”。在综艺、演出的紧张行程中，毕夏也不忘放弃自己的喜爱，喜欢的骑行活动和舞蹈都在自己的安排中。看着世界之大，褪去满身浮华，静下心来创作歌曲。六年时光，打扮依旧帅气的毕夏对音乐始终保持着“孩子气”般的热爱和炙诚，满腔热血，肆意高歌，执着地做着自己喜欢的事情！特别声明：以上文章内容仅代表作者本人观点，不代表新浪网观点或立场。如有关于作品内容、版权或其它问题请于作品发表后的30日内与新浪网联系。
毛不易匠心复刻单曲《二零三》:唱出漂泊者的回忆,新浪娱乐讯 12月3日零点，毛不易“内心私房曲”《二零三》上线。这是毛不易匠心复刻专辑《小王》的开门之作，唱出无数漂泊者的心声和回忆。这首歌首唱于2017年8月19日《明日之子》比赛期间，彼时的毛不易刚进入大众的视野，是毛不易写给自己曾经生活过、门牌号203小屋的歌曲。203留下了他的生活痕迹，也记录了他在那座小城里的故事。最后他离开了203，成为这间屋子的匆匆过客之一。毛不易向制作人介绍，在这个时代，很多年轻人像他一样，也在经历着从一个城市到另一个城市，从城市一端到另一端的漂泊。每一间小屋都承载着一段回忆，而对于那个屋子来说，人人都是过客，过客都是小王。在专辑首发凌晨，毛不易在微博上写下这样一段话：“说来惭愧，两年多光景。重唱《二零三》的巨星本人依然没有脱离租房的生活。来来往往，匆匆忙忙，仍在旅途，谨以此歌献给时光与你我。”《二零三》唤起了无数共鸣与回忆，听众纷纷表达对这首歌的喜爱：“听前奏的时候感觉脑海里有一种一帧帧慢速的回忆画面，充满了怀念与想念，也许有时候缘分遇上了对的人，但却只能成为过客的伤感。这首歌我想也是送给无数个为生活打拼的我们，及那些临时收留我们称之为家的地方。”(责编：山水)
黎小田12.15设灵翌日出殡 灵堂将以白色为主,新浪娱乐讯 据香港媒体报道 音乐人黎小田（Michael Lai）于2019年12月1日离世，享年73岁。黎小田秘书Clara在社交网公布丧礼事宜。“遵照黎小田先生遗愿将以低调私人形式设灵，谨择于2019年12月15日（星期日）下午5时在九龙红磡畅行道10号世界殡仪馆地下世界堂设灵，并于翌日12月16日（星期一）‪上午10时‬举行告别仪式，仪式后灵柩随即出殡，前往柴湾哥连臣角火葬场进行火化。为配合灵堂布置，诚送花圈友好请以白色花为主。谨此敬告 恕不另刊讣闻”。(责编：珞小嬜)
毛晓彤《我的机器人男友》温暖收官 2020年精彩持续加载,由曾丽珍执导，毛晓彤、姜潮、宁理、刘天佐等领衔主演的科幻爱情轻喜剧《我的机器人男友》将于今晚正式收官。毛晓彤饰演的蒋梦言勇敢执着，与机器人林墨白的恋爱之路克服了种种困难，最终能否收获幸福引发网友关注。同时，由毛晓彤主演的青春热血竞技剧《谁的青春不叛逆》持续热播，剧中唐诗与鹿相误会不断，虐心的恋爱日常引发讨论。蒋梦言收获完美爱情唐诗反转虐恋升级在《我的机器人男友》近期剧情中，蒋梦言终于得知了林墨白是机器人的真实身份。一向面对感情勇敢执着的她，却接受不了这样残酷的现实，决定与林墨白彻底结束。可当蒋梦言坐车遇到危险的时候，林墨白第一时间出现解救，让她感动不已，决定克服困难和林墨白重新在一起，大结局两人能否收获幸福也引发网友高度关注。在《谁的青春不叛逆》中，唐诗和鹿相的恋爱之路困难重重。魏总对唐诗展开猛烈的爱情攻势，还将鹿相赶出了公司，导致他几次产生误会，即使唐诗主动向他提出搬回出租屋的建议时，他也冷漠的拒绝了。毛晓彤将女强人外刚内柔的性格，细腻真实的演绎出来，让人感同身受的同时，也被她的演技所打动。热播剧高燃收官毛晓彤2020年持续发热热播剧《我的机器人男友》将于今晚收官，《谁的青春不叛逆》也接近尾声，毛晓彤用精彩的演绎温暖了2019年的寒冬，而新的一年她也将持续发热。在待播冒险题材剧《盗墓笔记重启之极海听雷》中，她饰演身手不凡的仓库管理员白昊天，颠覆固有印象以飒爽利落的造型亮相，引发观众期待。另外，由毛晓彤主演的现实主义题材都市情感剧《三十而已》于近日杀青，剧中她饰演勇敢无畏又温暖治愈的妻子钟晓芹，通过角色传递出人生态度。毛晓彤曾在采访中谈到她对三十岁的理解：“三十岁只是一个数字，真正重要的是对待生活的态度。”据悉，该剧将于2020年与大家见面，期待她在剧中的精彩表现。2019年温暖收官，2020年毛晓彤持续发热！特别声明：以上文章内容仅代表作者本人观点，不代表新浪网观点或立场。如有关于作品内容、版权或其它问题请于作品发表后的30日内与新浪网联系。
